,Company,Category,Country,State,Region,City,Year,Investment (USD),County
0,H2O.ai,Analytics,USA,CA,SF Bay Area,Mountain View,2015,20000000.0,Santa Clara County
1,H2O.ai,Analytics,USA,CA,SF Bay Area,Mountain View,2015,20000000.0,Santa Clara County
2,H2O.ai,Analytics,USA,CA,SF Bay Area,Mountain View,2014,8900000.0,Santa Clara County
3,H2O.ai,Analytics,USA,CA,SF Bay Area,Mountain View,2015,20000000.0,Santa Clara County
4,H2O.ai,Analytics,USA,CA,SF Bay Area,Mountain View,2014,8900000.0,Santa Clara County
5,23andMe,Biotechnology|Search,USA,CA,SF Bay Area,Mountain View,2015,115000000.0,Santa Clara County
6,23andMe,Biotechnology|Search,USA,CA,SF Bay Area,Mountain View,2012,57949900.0,Santa Clara County
7,23andMe,Biotechnology|Search,USA,CA,SF Bay Area,Mountain View,2011,9000000.0,Santa Clara County
8,23andMe,Biotechnology|Search,USA,CA,SF Bay Area,Mountain View,2012,57949900.0,Santa Clara County
9,23andMe,Biotechnology|Search,USA,CA,SF Bay Area,Mountain View,2012,57949900.0,Santa Clara County
10,23andMe,Biotechnology|Search,USA,CA,SF Bay Area,Mountain View,2015,115000000.0,Santa Clara County
11,Applauze,Mobile|Publishing,USA,CA,SF Bay Area,Mountain View,2013,7200000.0,Santa Clara County
12,Applauze,Mobile|Publishing,USA,CA,SF Bay Area,Mountain View,2013,7200000.0,Santa Clara County
13,Applauze,Mobile|Publishing,USA,CA,SF Bay Area,Mountain View,2013,7200000.0,Santa Clara County
14,Applauze,Mobile|Publishing,USA,CA,SF Bay Area,Mountain View,2013,7200000.0,Santa Clara County
15,Abra,Financial Services,USA,CA,SF Bay Area,Mountain View,2015,12000000.0,Santa Clara County
16,Abra,Financial Services,USA,CA,SF Bay Area,Mountain View,2015,12000000.0,Santa Clara County
17,Abra,Financial Services,USA,CA,SF Bay Area,Mountain View,2015,12000000.0,Santa Clara County
18,Abra,Financial Services,USA,CA,SF Bay Area,Mountain View,2015,12000000.0,Santa Clara County
19,Abra,Financial Services,USA,CA,SF Bay Area,Mountain View,2015,12000000.0,Santa Clara County
20,ADARA,Advertising,USA,CA,SF Bay Area,Mountain View,2015,23000000.0,Santa Clara County
21,ADARA,Advertising,USA,CA,SF Bay Area,Mountain View,2013,20000000.0,Santa Clara County
22,ADARA,Advertising,USA,CA,SF Bay Area,Mountain View,2015,23000000.0,Santa Clara County
23,ADARA,Advertising,USA,CA,SF Bay Area,Mountain View,2013,20000000.0,Santa Clara County
24,ADARA,Advertising,USA,CA,SF Bay Area,Mountain View,2015,23000000.0,Santa Clara County
25,ADARA,Advertising,USA,CA,SF Bay Area,Mountain View,2013,20000000.0,Santa Clara County
26,ADARA,Advertising,USA,CA,SF Bay Area,Mountain View,2015,23000000.0,Santa Clara County
27,ADARA,Advertising,USA,CA,SF Bay Area,Mountain View,2013,20000000.0,Santa Clara County
28,ADARA,Advertising,USA,CA,SF Bay Area,Mountain View,2013,20000000.0,Santa Clara County
29,ADARA,Advertising,USA,CA,SF Bay Area,Mountain View,2015,23000000.0,Santa Clara County
30,Addepar,Finance|SaaS,USA,CA,SF Bay Area,Mountain View,2011,15839694.0,Santa Clara County
31,Addepar,Finance|SaaS,USA,CA,SF Bay Area,Mountain View,2014,50000000.0,Santa Clara County
32,Addepar,Finance|SaaS,USA,CA,SF Bay Area,Mountain View,2011,15839694.0,Santa Clara County
33,Addepar,Finance|SaaS,USA,CA,SF Bay Area,Mountain View,2011,15839694.0,Santa Clara County
34,Addepar,Finance|SaaS,USA,CA,SF Bay Area,Mountain View,2011,15839694.0,Santa Clara County
35,Addepar,Finance|SaaS,USA,CA,SF Bay Area,Mountain View,2011,15839694.0,Santa Clara County
36,Addepar,Finance|SaaS,USA,CA,SF Bay Area,Mountain View,2011,15839694.0,Santa Clara County
37,Addepar,Finance|SaaS,USA,CA,SF Bay Area,Mountain View,2014,50000000.0,Santa Clara County
38,Addepar,Finance|SaaS,USA,CA,SF Bay Area,Mountain View,2011,15839694.0,Santa Clara County
39,Addepar,Finance|SaaS,USA,CA,SF Bay Area,Mountain View,2014,50000000.0,Santa Clara County
40,Addepar,Finance|SaaS,USA,CA,SF Bay Area,Mountain View,2011,15839694.0,Santa Clara County
41,Addepar,Finance|SaaS,USA,CA,SF Bay Area,Mountain View,2014,50000000.0,Santa Clara County
42,Aerospike,Analytics|Auctions|Big Data|Databases|Real Time,USA,CA,SF Bay Area,Mountain View,2014,20000000.0,Santa Clara County
43,Aerospike,Analytics|Auctions|Big Data|Databases|Real Time,USA,CA,SF Bay Area,Mountain View,2014,20000000.0,Santa Clara County
44,Aerospike,Analytics|Auctions|Big Data|Databases|Real Time,USA,CA,SF Bay Area,Mountain View,2014,20000000.0,Santa Clara County
45,AgilOne,Analytics|Big Data|Business Intelligence|SaaS|Sales and Marketing,USA,CA,SF Bay Area,Mountain View,2014,25000016.0,Santa Clara County
46,AgilOne,Analytics|Big Data|Business Intelligence|SaaS|Sales and Marketing,USA,CA,SF Bay Area,Mountain View,2012,10000000.0,Santa Clara County
47,AgilOne,Analytics|Big Data|Business Intelligence|SaaS|Sales and Marketing,USA,CA,SF Bay Area,Mountain View,2014,25000016.0,Santa Clara County
48,AgilOne,Analytics|Big Data|Business Intelligence|SaaS|Sales and Marketing,USA,CA,SF Bay Area,Mountain View,2014,25000016.0,Santa Clara County
49,AgilOne,Analytics|Big Data|Business Intelligence|SaaS|Sales and Marketing,USA,CA,SF Bay Area,Mountain View,2012,10000000.0,Santa Clara County
50,AgilOne,Analytics|Big Data|Business Intelligence|SaaS|Sales and Marketing,USA,CA,SF Bay Area,Mountain View,2014,25000016.0,Santa Clara County
51,AgilOne,Analytics|Big Data|Business Intelligence|SaaS|Sales and Marketing,USA,CA,SF Bay Area,Mountain View,2011,6000000.0,Santa Clara County
52,AgilOne,Analytics|Big Data|Business Intelligence|SaaS|Sales and Marketing,USA,CA,SF Bay Area,Mountain View,2014,25000016.0,Santa Clara County
53,AirTight Networks,Security|Wireless,USA,CA,SF Bay Area,Mountain View,2013,10000000.0,Santa Clara County
54,AirTight Networks,Security|Wireless,USA,CA,SF Bay Area,Mountain View,2013,10000000.0,Santa Clara County
55,AirTight Networks,Security|Wireless,USA,CA,SF Bay Area,Mountain View,2013,10000000.0,Santa Clara County
56,AirTight Networks,Security|Wireless,USA,CA,SF Bay Area,Mountain View,2013,10000000.0,Santa Clara County
57,AirTight Networks,Security|Wireless,USA,CA,SF Bay Area,Mountain View,2013,10000000.0,Santa Clara County
58,AirTight Networks,Security|Wireless,USA,CA,SF Bay Area,Mountain View,2013,10000000.0,Santa Clara County
59,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2012,11000000.0,Santa Clara County
60,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2013,9000000.0,Santa Clara County
61,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2014,1000000.0,Santa Clara County
62,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2012,11000000.0,Santa Clara County
63,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2012,1080000.0,Santa Clara County
64,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2013,9000000.0,Santa Clara County
65,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2014,1000000.0,Santa Clara County
66,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2012,11000000.0,Santa Clara County
67,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2014,1000000.0,Santa Clara County
68,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2012,11000000.0,Santa Clara County
69,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2012,1080000.0,Santa Clara County
70,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2013,9000000.0,Santa Clara County
71,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2014,1000000.0,Santa Clara County
72,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2012,11000000.0,Santa Clara County
73,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2012,1080000.0,Santa Clara County
74,AirXpanders,Biotechnology,USA,CA,SF Bay Area,Mountain View,2013,9000000.0,Santa Clara County
75,Amaranth Medical,Biotechnology,USA,CA,SF Bay Area,Mountain View,2013,20000000.0,Santa Clara County
76,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2013,12100000.0,Santa Clara County
77,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2011,15000000.0,Santa Clara County
78,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2012,16000000.0,Santa Clara County
79,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2013,12100000.0,Santa Clara County
80,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2014,22000000.0,Santa Clara County
81,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2011,15000000.0,Santa Clara County
82,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2012,3000000.0,Santa Clara County
83,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2013,12100000.0,Santa Clara County
84,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2011,15000000.0,Santa Clara County
85,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2012,16000000.0,Santa Clara County
86,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2013,12100000.0,Santa Clara County
87,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2014,22000000.0,Santa Clara County
88,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2014,22000000.0,Santa Clara County
89,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2013,12100000.0,Santa Clara County
90,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2012,3000000.0,Santa Clara County
91,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2014,22000000.0,Santa Clara County
92,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2011,15000000.0,Santa Clara County
93,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2013,12100000.0,Santa Clara County
94,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2012,3000000.0,Santa Clara County
95,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2014,22000000.0,Santa Clara County
96,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2011,15000000.0,Santa Clara County
97,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2013,12100000.0,Santa Clara County
98,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2012,3000000.0,Santa Clara County
99,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2014,22000000.0,Santa Clara County
100,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2011,15000000.0,Santa Clara County
101,Appcelerator,Enterprise Software|Mobile|Mobility|Open Source,USA,CA,SF Bay Area,Mountain View,2014,22000000.0,Santa Clara County
102,Eargo,Audio|Technology|Wearables,USA,CA,SF Bay Area,Mountain View,2015,13600000.0,Santa Clara County
